size	16
T	4
J	1
H	0
step-init_step	E	m
7050	-0.359375	0.289062
7060	-0.367188	0.320312
7070	-0.367188	0.289062
7080	-0.34375	0.265625
7090	-0.335938	0.25
7100	-0.335938	0.234375
7110	-0.328125	0.226562
7120	-0.335938	0.242188
7130	-0.34375	0.21875
7140	-0.34375	0.210938
7150	-0.328125	0.195312
7160	-0.3125	0.171875
7170	-0.3125	0.125
7180	-0.328125	0.117188
7190	-0.328125	0.09375
7200	-0.359375	0.109375
7210	-0.367188	0.132812
7220	-0.359375	0.132812
7230	-0.320312	0.132812
7240	-0.335938	0.132812
7250	-0.335938	0.148438
7260	-0.351562	0.132812
7270	-0.34375	0.117188
7280	-0.335938	0.109375
7290	-0.335938	0.101562
7300	-0.320312	0.125
7310	-0.304688	0.101562
7320	-0.289062	0.109375
7330	-0.28125	0.0859375
7340	-0.28125	0.09375
7350	-0.273438	0.0859375
7360	-0.296875	0.09375
7370	-0.3125	0.101562
7380	-0.34375	0.101562
7390	-0.34375	0.109375
7400	-0.351562	0.0859375
7410	-0.335938	0.101562
7420	-0.320312	0.0859375
7430	-0.304688	0.0859375
7440	-0.296875	0.101562
7450	-0.296875	0.09375
7460	-0.28125	0.0859375
7470	-0.28125	0.101562
7480	-0.265625	0.101562
7490	-0.296875	0.09375
7500	-0.3125	0.0625
7510	-0.304688	0.0390625
7520	-0.289062	0.0234375
7530	-0.28125	0.03125
7540	-0.265625	0.046875
7550	-0.265625	0.0546875
7560	-0.265625	0.0390625
7570	-0.273438	0.03125
7580	-0.265625	0.03125
7590	-0.28125	0.015625
7600	-0.25	0.0703125
7610	-0.257812	0.0703125
7620	-0.257812	0.0625
7630	-0.273438	0.0703125
7640	-0.265625	0.0625
7650	-0.273438	0.0625
7660	-0.265625	0.0078125
7670	-0.257812	0.03125
7680	-0.257812	0.0390625
7690	-0.273438	0.0234375
7700	-0.257812	0.0078125
7710	-0.242188	-0.0234375
7720	-0.265625	-0.03125
7730	-0.273438	-0.0625
7740	-0.242188	-0.0546875
7750	-0.226562	-0.0390625
7760	-0.21875	-0.0234375
7770	-0.21875	-0.0234375
7780	-0.203125	-0.0234375
7790	-0.21875	-0.015625
7800	-0.210938	-0.0234375
7810	-0.203125	-0.0234375
7820	-0.226562	-0.03125
7830	-0.226562	-0.0546875
7840	-0.21875	-0.046875
7850	-0.242188	-0.0625
7860	-0.234375	-0.046875
7870	-0.257812	-0.03125
7880	-0.265625	-0.015625
7890	-0.265625	0
7900	-0.257812	0
7910	-0.265625	0.03125
7920	-0.25	0.015625
7930	-0.257812	-0.0078125
7940	-0.234375	-0.0390625
7950	-0.234375	-0.0390625
7960	-0.242188	-0.0234375
7970	-0.234375	-0.0078125
7980	-0.21875	-0.0390625
7990	-0.203125	0
8000	-0.203125	0.0078125
8010	-0.203125	-0.015625
8020	-0.203125	-0.046875
8030	-0.210938	-0.046875
8040	-0.21875	-0.03125
8050	-0.195312	-0.03125
8060	-0.21875	-0.0390625
8070	-0.203125	-0.0234375
8080	-0.195312	-0.0078125
8090	-0.21875	0.03125
8100	-0.265625	0.046875
8110	-0.273438	0.0625
8120	-0.265625	0.0625
8130	-0.265625	0.109375
8140	-0.296875	0.132812
8150	-0.296875	0.132812
8160	-0.273438	0.109375
8170	-0.257812	0.09375
8180	-0.257812	0.0859375
8190	-0.265625	0.078125
8200	-0.273438	0.0625
8210	-0.265625	0.0703125
8220	-0.226562	0.101562
8230	-0.203125	0.164062
8240	-0.25	0.164062
8250	-0.25	0.148438
8260	-0.234375	0.132812
8270	-0.25	0.148438
8280	-0.265625	0.125
8290	-0.242188	0.117188
8300	-0.25	0.132812
8310	-0.265625	0.140625
8320	-0.289062	0.15625
8330	-0.265625	0.15625
8340	-0.28125	0.171875
8350	-0.28125	0.148438
8360	-0.265625	0.164062
8370	-0.25	0.15625
8380	-0.25	0.15625
8390	-0.265625	0.164062
8400	-0.28125	0.148438
8410	-0.273438	0.148438
8420	-0.273438	0.132812
8430	-0.273438	0.132812
8440	-0.289062	0.148438
8450	-0.3125	0.148438
8460	-0.328125	0.148438
8470	-0.34375	0.15625
8480	-0.34375	0.140625
8490	-0.359375	0.164062
8500	-0.367188	0.195312
8510	-0.367188	0.203125
8520	-0.375	0.203125
8530	-0.375	0.179688
8540	-0.320312	0.164062
8550	-0.335938	0.171875
8560	-0.351562	0.171875
8570	-0.351562	0.125
