size	128
T	5
J	1
H	0
step-init_step	E	m
73500	-3820	0.121216
73600	-3826	0.122803
73700	-3840	0.122803
73800	-3868	0.122681
73900	-3906	0.122559
74000	-3914	0.120728
74100	-3910	0.120728
74200	-3902	0.121582
74300	-3912	0.12085
74400	-3930	0.119751
74500	-3914	0.118164
74600	-3930	0.118164
74700	-3926	0.117798
74800	-3882	0.116333
74900	-3888	0.115967
75000	-3858	0.11499
75100	-3838	0.112915
75200	-3812	0.112793
75300	-3818	0.11377
75400	-3818	0.112793
75500	-3846	0.112549
75600	-3830	0.110718
75700	-3820	0.109741
75800	-3818	0.110107
75900	-3818	0.109619
76000	-3838	0.108521
76100	-3838	0.107422
76200	-3824	0.108765
76300	-3832	0.109619
76400	-3842	0.109497
76500	-3846	0.109131
76600	-3850	0.107544
76700	-3860	0.106934
76800	-3836	0.107544
76900	-3828	0.106934
77000	-3816	0.105957
77100	-3808	0.104004
77200	-3806	0.103394
77300	-3800	0.102905
77400	-3764	0.100342
77500	-3784	0.0998535
77600	-3766	0.0991211
77700	-3778	0.0991211
77800	-3760	0.0979004
77900	-3776	0.0981445
78000	-3794	0.0986328
78100	-3792	0.0974121
78200	-3780	0.0974121
78300	-3794	0.0974121
78400	-3784	0.0982666
78500	-3784	0.0974121
78600	-3796	0.0977783
78700	-3810	0.0977783
78800	-3820	0.0987549
78900	-3836	0.100708
79000	-3816	0.100098
79100	-3814	0.0999756
79200	-3812	0.101685
79300	-3810	0.103149
79400	-3794	0.104858
79500	-3814	0.105225
79600	-3828	0.106201
79700	-3812	0.105713
79800	-3838	0.106445
79900	-3848	0.107788
80000	-3854	0.107788
80100	-3864	0.110718
80200	-3840	0.110352
80300	-3862	0.110718
80400	-3858	0.111816
80500	-3848	0.110474
80600	-3850	0.108276
80700	-3880	0.109497
80800	-3862	0.107788
80900	-3848	0.106567
81000	-3848	0.106201
81100	-3866	0.106567
81200	-3838	0.106079
81300	-3838	0.105835
81400	-3818	0.10437
81500	-3824	0.103882
81600	-3846	0.102173
81700	-3834	0.101807
81800	-3808	0.102173
81900	-3808	0.10083
82000	-3806	0.0997314
82100	-3830	0.0992432
82200	-3846	0.0981445
82300	-3858	0.0974121
82400	-3872	0.0975342
82500	-3850	0.0948486
82600	-3842	0.0941162
82700	-3818	0.0941162
82800	-3832	0.0947266
82900	-3842	0.0964355
83000	-3850	0.0959473
83100	-3820	0.0936279
83200	-3796	0.0917969
83300	-3744	0.0919189
83400	-3754	0.0922852
83500	-3750	0.09021
83600	-3762	0.09021
83700	-3780	0.0887451
83800	-3786	0.0893555
83900	-3776	0.0904541
84000	-3756	0.0894775
84100	-3766	0.09021
84200	-3728	0.0888672
84300	-3734	0.0876465
84400	-3750	0.0889893
84500	-3738	0.088501
84600	-3722	0.0895996
84700	-3728	0.0875244
84800	-3720	0.0872803
84900	-3698	0.0883789
85000	-3698	0.0880127
85100	-3694	0.0866699
85200	-3694	0.0861816
85300	-3694	0.0870361
85400	-3706	0.0860596
85500	-3714	0.086792
85600	-3700	0.0848389
85700	-3684	0.0853271
85800	-3674	0.0861816
85900	-3686	0.0849609
86000	-3696	0.0844727
86100	-3694	0.0848389
86200	-3706	0.0856934
86300	-3730	0.0847168
86400	-3740	0.0837402
86500	-3744	0.083252
86600	-3760	0.0817871
86700	-3754	0.0803223
86800	-3740	0.0789795
86900	-3748	0.0787354
87000	-3734	0.0789795
87100	-3746	0.0784912
87200	-3732	0.0787354
87300	-3732	0.078125
87400	-3730	0.0766602
87500	-3726	0.0767822
87600	-3702	0.0744629
87700	-3690	0.0737305
87800	-3712	0.0743408
87900	-3702	0.0749512
88000	-3694	0.0733643
88100	-3700	0.0748291
88200	-3718	0.0751953
88300	-3720	0.0760498
88400	-3722	0.0767822
88500	-3716	0.0756836
88600	-3684	0.0758057
88700	-3674	0.0760498
88800	-3690	0.0758057
88900	-3680	0.0767822
89000	-3678	0.0773926
89100	-3666	0.0772705
89200	-3644	0.0771484
89300	-3656	0.0767822
89400	-3674	0.0771484
89500	-3658	0.0772705
89600	-3662	0.0777588
89700	-3646	0.0783691
89800	-3652	0.0778809
89900	-3632	0.0776367
90000	-3630	0.0771484
90100	-3638	0.076416
90200	-3638	0.0759277
90300	-3620	0.0753174
90400	-3628	0.0751953
90500	-3614	0.0740967
90600	-3598	0.0740967
90700	-3606	0.0760498
90800	-3620	0.0771484
90900	-3604	0.0756836
91000	-3604	0.0736084
91100	-3640	0.0732422
91200	-3630	0.0732422
91300	-3620	0.0727539
91400	-3642	0.0744629
91500	-3638	0.0736084
91600	-3646	0.0720215
91700	-3658	0.0712891
91800	-3674	0.0715332
91900	-3650	0.0721436
92000	-3656	0.0731201
92100	-3642	0.0717773
92200	-3660	0.0704346
92300	-3646	0.0704346
92400	-3636	0.0712891
92500	-3640	0.0717773
92600	-3646	0.072998
92700	-3640	0.0734863
92800	-3606	0.0708008
92900	-3592	0.0708008
93000	-3588	0.0700684
93100	-3602	0.067749
93200	-3616	0.0684814
93300	-3628	0.0698242
93400	-3642	0.0700684
93500	-3634	0.069458
93600	-3642	0.0695801
93700	-3636	0.0688477
93800	-3648	0.0679932
93900	-3636	0.0668945
94000	-3636	0.0672607
94100	-3656	0.0664062
94200	-3670	0.0670166
94300	-3668	0.0678711
94400	-3678	0.0679932
94500	-3680	0.0673828
94600	-3674	0.065918
94700	-3684	0.06604
94800	-3702	0.0679932
94900	-3688	0.0695801
95000	-3688	0.0699463
95100	-3682	0.0700684
95200	-3692	0.0697021
95300	-3672	0.0703125
95400	-3704	0.0705566
95500	-3706	0.0690918
95600	-3700	0.0688477
95700	-3702	0.067749
95800	-3694	0.067627
95900	-3708	0.0681152
96000	-3692	0.0686035
96100	-3692	0.0683594
96200	-3686	0.0689697
96300	-3694	0.0700684
96400	-3718	0.0726318
96500	-3734	0.0734863
96600	-3702	0.0720215
96700	-3712	0.0705566
96800	-3700	0.0690918
96900	-3704	0.0683594
97000	-3680	0.067749
97100	-3676	0.0675049
97200	-3706	0.0684814
97300	-3740	0.0688477
97400	-3728	0.0681152
97500	-3712	0.0668945
97600	-3706	0.0667725
97700	-3716	0.0661621
97800	-3714	0.0665283
97900	-3698	0.0649414
98000	-3700	0.0646973
98100	-3704	0.0640869
98200	-3718	0.0637207
98300	-3700	0.0629883
98400	-3678	0.0628662
98500	-3684	0.0616455
98600	-3672	0.0629883
98700	-3646	0.0611572
98800	-3614	0.0632324
98900	-3604	0.0638428
99000	-3612	0.0643311
99100	-3612	0.064209
99200	-3634	0.0668945
99300	-3640	0.0662842
99400	-3648	0.067749
99500	-3656	0.0681152
99600	-3678	0.0693359
99700	-3662	0.0706787
99800	-3656	0.071167
99900	-3654	0.0712891
100000	-3630	0.069458
100100	-3618	0.0675049
100200	-3614	0.0675049
100300	-3586	0.0648193
100400	-3598	0.0628662
100500	-3602	0.0616455
100600	-3610	0.0606689
100700	-3608	0.0605469
100800	-3604	0.0601807
100900	-3598	0.0599365
101000	-3600	0.0601807
101100	-3596	0.0610352
101200	-3572	0.0596924
101300	-3586	0.0599365
101400	-3574	0.0594482
101500	-3566	0.0610352
101600	-3560	0.0595703
101700	-3564	0.060791
101800	-3578	0.0609131
101900	-3590	0.0611572
102000	-3596	0.0617676
102100	-3576	0.0625
102200	-3590	0.0606689
102300	-3610	0.0621338
102400	-3614	0.0614014
102500	-3636	0.0593262
102600	-3650	0.0599365
102700	-3658	0.05896
102800	-3666	0.05896
102900	-3670	0.0581055
103000	-3648	0.0593262
103100	-3638	0.0577393
103200	-3602	0.0557861
103300	-3578	0.0554199
103400	-3582	0.055542
103500	-3584	0.0544434
103600	-3590	0.0546875
103700	-3588	0.0544434
103800	-3588	0.0526123
103900	-3610	0.0522461
104000	-3640	0.0533447
104100	-3636	0.0528564
104200	-3646	0.0537109
104300	-3626	0.053833
104400	-3604	0.0534668
104500	-3604	0.0540771
104600	-3622	0.0528564
104700	-3614	0.0524902
104800	-3620	0.0517578
104900	-3628	0.0499268
105000	-3622	0.0493164
105100	-3616	0.0480957
105200	-3600	0.0479736
105300	-3594	0.0490723
105400	-3624	0.0488281
105500	-3628	0.0479736
105600	-3630	0.0498047
105700	-3616	0.0493164
105800	-3626	0.0482178
105900	-3610	0.0484619
106000	-3622	0.050293
106100	-3612	0.050415
106200	-3606	0.050293
106300	-3606	0.0507812
106400	-3590	0.050293
106500	-3580	0.050293
106600	-3558	0.0505371
106700	-3574	0.0496826
106800	-3592	0.0493164
106900	-3570	0.0506592
107000	-3560	0.0496826
107100	-3534	0.0495605
107200	-3534	0.050415
107300	-3558	0.0493164
107400	-3582	0.0491943
107500	-3574	0.0479736
107600	-3576	0.0483398
107700	-3570	0.0478516
107800	-3542	0.0472412
107900	-3522	0.0471191
108000	-3516	0.0467529
108100	-3498	0.0467529
108200	-3468	0.0472412
108300	-3488	0.0465088
108400	-3496	0.0447998
108500	-3484	0.0444336
108600	-3482	0.0461426
108700	-3466	0.0452881
108800	-3490	0.0443115
108900	-3504	0.045166
109000	-3512	0.0452881
109100	-3530	0.0461426
109200	-3514	0.045166
109300	-3528	0.0460205
109400	-3522	0.0446777
109500	-3534	0.0441895
109600	-3524	0.0419922
109700	-3508	0.0423584
109800	-3500	0.0408936
109900	-3508	0.0391846
110000	-3484	0.0369873
110100	-3456	0.036499
110200	-3456	0.0369873
110300	-3448	0.0368652
110400	-3458	0.0378418
110500	-3440	0.0357666
110600	-3428	0.036499
110700	-3428	0.0366211
110800	-3434	0.038208
110900	-3434	0.0378418
111000	-3432	0.0368652
111100	-3442	0.036377
111200	-3410	0.0343018
111300	-3430	0.0340576
111400	-3426	0.0330811
111500	-3444	0.0318604
111600	-3430	0.0313721
111700	-3448	0.0307617
111800	-3430	0.0316162
111900	-3430	0.0332031
112000	-3458	0.0349121
112100	-3474	0.0344238
112200	-3482	0.0349121
112300	-3506	0.0358887
112400	-3500	0.038208
112500	-3500	0.0383301
112600	-3472	0.0378418
112700	-3446	0.0352783
112800	-3428	0.0355225
112900	-3432	0.0355225
113000	-3458	0.0355225
113100	-3484	0.0350342
113200	-3484	0.0350342
113300	-3516	0.0340576
